episod,recompensa,pasi,succes,epsilon
765,309.049999999999,229,1,0.46515585607821586
766,50.05000000000027,129,0,0.46469070022213765
767,35.05000000000025,129,0,0.4642260095219155
768,51.90000000000023,122,0,0.4637617835123936
769,35.750000000000185,115,0,0.46329802172888124
770,299.8999999999994,232,1,0.46283472370715234
771,56.30000000000025,124,0,0.46237188898344517
772,56.40000000000025,122,0,0.4619095170944617
773,33.25000000000034,165,0,0.46144760757736725
774,35.85000000000019,113,0,0.46098615996978987
775,56.05000000000027,129,0,0.46052517380982005
776,35.20000000000023,126,0,0.4600646486360102
777,128.1999999999996,216,0,0.4596045839873742
778,135.39999999999964,192,0,0.45914497940338683
